,doc_id,doc_hash,entity_hash,sentence,start_idx,end_idx,entity_type
0,0,01484f84b35d80b2c0c35cb57a700429,3fdf93e712914ea84663d6d67b463e4a,"Acrylic paint - 'Starry Nite' by Vincent van Gohg; 1889, 73cm x 92cm",35,51,ARTIST
1,0,01484f84b35d80b2c0c35cb57a700429,adc175000120f2a768ffa3bc3474b8e3,"Acrylic paint - 'Starry Nite' by Vincent van Gohg; 1889, 73cm x 92cm",54,58,DATE
2,0,01484f84b35d80b2c0c35cb57a700429,3b9dee514918fcfe35c4188ee32d341b,"Acrylic paint - 'Starry Nite' by Vincent van Gohg; 1889, 73cm x 92cm",0,13,MEDIUM
3,0,01484f84b35d80b2c0c35cb57a700429,e20801a0ddc2b0a1fda7dd12f20d529f,"Acrylic paint - 'Starry Nite' by Vincent van Gohg; 1889, 73cm x 92cm",16,28,ART_TITLE
4,0,01484f84b35d80b2c0c35cb57a700429,c39139ba13ede83adac7d8abbbc68718,"Acrylic paint - 'Starry Nite' by Vincent van Gohg; 1889, 73cm x 92cm",60,70,DIMENSION
5,1,e4bc82256f347ddc80200295856aa28c,1b255a3932d27f6aaa55cd4c576fe880,"The Persistence of Memory, Salvador Dali - oil on canvas; 1931, 24x33cm",29,42,ARTIST
6,1,e4bc82256f347ddc80200295856aa28c,abe4d9034fd9113129386ca67ee95c89,"The Persistence of Memory, Salvador Dali - oil on canvas; 1931, 24x33cm",46,60,MEDIUM
7,1,e4bc82256f347ddc80200295856aa28c,0cb3d9c1241efec7d6d4526cf293330c,"The Persistence of Memory, Salvador Dali - oil on canvas; 1931, 24x33cm",62,66,DATE
8,1,e4bc82256f347ddc80200295856aa28c,d59f85b382aa8575c56654493de1f03a,"The Persistence of Memory, Salvador Dali - oil on canvas; 1931, 24x33cm",0,26,ART_TITLE
9,1,e4bc82256f347ddc80200295856aa28c,8bd1f75fd29313e13e871750a1fe8b94,"The Persistence of Memory, Salvador Dali - oil on canvas; 1931, 24x33cm",68,75,DIMENSION
10,2,2582bfe979b19b8bb949659c467265c6,522b0cf09dad4356b9e23397f0fb01fc,"Leonardo da Vincy - 'Mona Lisa'; 77cm x 53cm, 1503, oil paint",0,17,ARTIST
11,2,2582bfe979b19b8bb949659c467265c6,6c4f51ac975ab3ee71ef619a9ada9a50,"Leonardo da Vincy - 'Mona Lisa'; 77cm x 53cm, 1503, oil paint",20,30,ART_TITLE
12,2,2582bfe979b19b8bb949659c467265c6,1f0b3ba10bff9a7cf80624408e95e373,"Leonardo da Vincy - 'Mona Lisa'; 77cm x 53cm, 1503, oil paint",33,43,DIMENSION
13,2,2582bfe979b19b8bb949659c467265c6,5b0e3e143ccec1c223c8e086c457982a,"Leonardo da Vincy - 'Mona Lisa'; 77cm x 53cm, 1503, oil paint",45,49,DATE
14,2,2582bfe979b19b8bb949659c467265c6,2775f79567e46c67f42f99e1a586dfd2,"Leonardo da Vincy - 'Mona Lisa'; 77cm x 53cm, 1503, oil paint",51,60,MEDIUM
15,3,9b9aab8ee75fc7e993fc94a15178ed77,5607f291167efe4c245644774bc7bdda,"Watercolor, 'The Great Wave off Kanagwa' - Hokusai; 1831, 25.7cm x 37.8cm",42,49,ARTIST
16,3,9b9aab8ee75fc7e993fc94a15178ed77,8774f06363475328d0f8e15c69d4d9f2,"Watercolor, 'The Great Wave off Kanagwa' - Hokusai; 1831, 25.7cm x 37.8cm",52,56,DATE
17,3,9b9aab8ee75fc7e993fc94a15178ed77,c89a1c4bbf0a7d3d3795cedd401d3236,"Watercolor, 'The Great Wave off Kanagwa' - Hokusai; 1831, 25.7cm x 37.8cm",0,10,MEDIUM
18,3,9b9aab8ee75fc7e993fc94a15178ed77,263247335cc03e40db5c0d9f03218cc9,"Watercolor, 'The Great Wave off Kanagwa' - Hokusai; 1831, 25.7cm x 37.8cm",12,39,ART_TITLE
19,3,9b9aab8ee75fc7e993fc94a15178ed77,9ec923a69111119e68d179e0d73dba96,"Watercolor, 'The Great Wave off Kanagwa' - Hokusai; 1831, 25.7cm x 37.8cm",58,71,DIMENSION
20,4,b125bbdee2a199d2a19deb933cd1422d,f6e855f236a2674dd0467d03c5886007,"Pablo Picaso, 'Guernica' - 1937, 349cm x 776cm; oil on canvas",0,13,ARTIST
21,4,b125bbdee2a199d2a19deb933cd1422d,d7275815265e20dfb21813944cea9597,"Pablo Picaso, 'Guernica' - 1937, 349cm x 776cm; oil on canvas",16,25,ART_TITLE
22,4,b125bbdee2a199d2a19deb933cd1422d,6d57e3f84d272029e1ae50614db7b9ff,"Pablo Picaso, 'Guernica' - 1937, 349cm x 776cm; oil on canvas",28,32,DATE
23,4,b125bbdee2a199d2a19deb933cd1422d,39bbc69f24c65671b9ecd152f2daf70e,"Pablo Picaso, 'Guernica' - 1937, 349cm x 776cm; oil on canvas",34,46,DIMENSION
24,4,b125bbdee2a199d2a19deb933cd1422d,4480427c93b080532e3c4b1ae21099a5,"Pablo Picaso, 'Guernica' - 1937, 349cm x 776cm; oil on canvas",48,61,MEDIUM
25,5,d0cc5b486458e50886cece996d5c6e52,726180aa57ace12701eff56207f28950,"Claude Monet: 'Water Lillies', 1916; 200cm x 180cm - oil paint",0,12,ARTIST
26,5,d0cc5b486458e50886cece996d5c6e52,f33e6b1b08d60f281e644b4fc8c67ce2,"Claude Monet: 'Water Lillies', 1916; 200cm x 180cm - oil paint",15,29,ART_TITLE
27,5,d0cc5b486458e50886cece996d5c6e52,45ebf1927204884f22356935abcf8ab6,"Claude Monet: 'Water Lillies', 1916; 200cm x 180cm - oil paint",31,35,DATE
28,5,d0cc5b486458e50886cece996d5c6e52,48b1cd0c99df604ba2a252429d5767c0,"Claude Monet: 'Water Lillies', 1916; 200cm x 180cm - oil paint",37,49,DIMENSION
29,5,d0cc5b486458e50886cece996d5c6e52,d871e7397550a9bb579e402be217905a,"Claude Monet: 'Water Lillies', 1916; 200cm x 180cm - oil paint",52,61,MEDIUM
30,6,7fef74e39cc96c75500277a671d9e5ca,c38f66aba04b2151a994b272d5d6fcf0,"Photograph, 'Moon and Half Dome' - 1960, Ansel Adams; 19x15in",0,10,MEDIUM
31,6,7fef74e39cc96c75500277a671d9e5ca,98b1c148d1e7014ab7a91b46150d313f,"Photograph, 'Moon and Half Dome' - 1960, Ansel Adams; 19x15in",13,33,ART_TITLE
32,6,7fef74e39cc96c75500277a671d9e5ca,f970d64a7a5230fc9e36b1e91bf0e3fe,"Photograph, 'Moon and Half Dome' - 1960, Ansel Adams; 19x15in",36,40,DATE
33,6,7fef74e39cc96c75500277a671d9e5ca,8a597b9cb1b9b79ef5e84cd72e9e3c7d,"Photograph, 'Moon and Half Dome' - 1960, Ansel Adams; 19x15in",42,53,ARTIST
34,6,7fef74e39cc96c75500277a671d9e5ca,44f307387bb05b6de798021e59f40752,"Photograph, 'Moon and Half Dome' - 1960, Ansel Adams; 19x15in",55,62,DIMENSION
35,7,487c7e71d550d417ddef845cdddba753,1c5da1d892a39afb2a7d1c39309b2953,"The Scream - Edvard Munch; 1893, 91cm by 73cm, tempera on cardboard",0,11,ART_TITLE
36,7,487c7e71d550d417ddef845cdddba753,bff938ffc8946405c1cc1e453b174886,"The Scream - Edvard Munch; 1893, 91cm by 73cm, tempera on cardboard",14,26,ARTIST
37,7,487c7e71d550d417ddef845cdddba753,c6900e0f7dfbb83bfd8720dc4b3701e8,"The Scream - Edvard Munch; 1893, 91cm by 73cm, tempera on cardboard",28,32,DATE
38,7,487c7e71d550d417ddef845cdddba753,eb044cd930ba2e17a99e48909669aa91,"The Scream - Edvard Munch; 1893, 91cm by 73cm, tempera on cardboard",34,46,DIMENSION
39,7,487c7e71d550d417ddef845cdddba753,dd3e09e353044c38d8f01fccccc8635c,"The Scream - Edvard Munch; 1893, 91cm by 73cm, tempera on cardboard",48,67,MEDIUM
40,8,a9863c6afda162eaff9c62c94b226c38,314a821d4286306cdddea363e8b6e7a3,"Vincent van Gogh, 1889 - 'The Starry Night'; 73 x 92 cm, oil on canvas",0,16,ARTIST
41,8,a9863c6afda162eaff9c62c94b226c38,5762b17a739e3f3594b7843718cd8d6d,"Vincent van Gogh, 1889 - 'The Starry Night'; 73 x 92 cm, oil on canvas",18,22,DATE
42,8,a9863c6afda162eaff9c62c94b226c38,68f695d5148d7e335768d0fea9210364,"Vincent van Gogh, 1889 - 'The Starry Night'; 73 x 92 cm, oil on canvas",25,42,ART_TITLE
43,8,a9863c6afda162eaff9c62c94b226c38,3efdd811e0e8a263dcb2487b7b22a76a,"Vincent van Gogh, 1889 - 'The Starry Night'; 73 x 92 cm, oil on canvas",44,54,DIMENSION
44,8,a9863c6afda162eaff9c62c94b226c38,bb0078d6436d6ad4406fa1cf5bc5ded5,"Vincent van Gogh, 1889 - 'The Starry Night'; 73 x 92 cm, oil on canvas",56,69,MEDIUM
45,9,949733801847e3dd703a847e2cdba397,463e26f58f8d04f661c2ec032dee36b6,"oil on canvas - 'Girl with a Pearl Earring'; 1665, Johannes Vermeer, 44.5cm x 39cm",0,13,MEDIUM
46,9,949733801847e3dd703a847e2cdba397,c92a3f050a9dfad8654471ab2923d53b,"oil on canvas - 'Girl with a Pearl Earring'; 1665, Johannes Vermeer, 44.5cm x 39cm",16,44,ART_TITLE
47,9,949733801847e3dd703a847e2cdba397,0b092a6be8bd318609c3ec5d4af00da8,"oil on canvas - 'Girl with a Pearl Earring'; 1665, Johannes Vermeer, 44.5cm x 39cm",47,51,DATE
48,9,949733801847e3dd703a847e2cdba397,0fd3bf3bf5ecaa83abc68fe8f06008dd,"oil on canvas - 'Girl with a Pearl Earring'; 1665, Johannes Vermeer, 44.5cm x 39cm",53,70,ARTIST
49,9,949733801847e3dd703a847e2cdba397,29bbbb912796298ee0382f098640aafb,"oil on canvas - 'Girl with a Pearl Earring'; 1665, Johannes Vermeer, 44.5cm x 39cm",72,84,DIMENSION
50,10,09f662969acd6987285fe06a63d7c98e,c624f615b2dccad79e4feddc53b0e65e,"Rembrandt, 'The Night Watch' - 1642, 363cm x 437cm; oil on canvas",0,9,ARTIST
51,10,09f662969acd6987285fe06a63d7c98e,293b56ba96d6ab8fffee64c9a7110f25,"Rembrandt, 'The Night Watch' - 1642, 363cm x 437cm; oil on canvas",12,29,ART_TITLE
52,10,09f662969acd6987285fe06a63d7c98e,c8d83a29181eafd5ae5e239ffc63ef5f,"Rembrandt, 'The Night Watch' - 1642, 363cm x 437cm; oil on canvas",32,36,DATE
53,10,09f662969acd6987285fe06a63d7c98e,ad2103de8c22d14b34439e698f182bfd,"Rembrandt, 'The Night Watch' - 1642, 363cm x 437cm; oil on canvas",38,50,DIMENSION
54,10,09f662969acd6987285fe06a63d7c98e,b6403bfb7a71d790bbba70b65ace5f46,"Rembrandt, 'The Night Watch' - 1642, 363cm x 437cm; oil on canvas",52,65,MEDIUM
55,11,a4dd26b1c4d6614da2c8a2f3e93f9494,f4ef108313105b0f4fe39954a2d78609,"Michelangelo, 'David'; marble - 1504, 17ft tall",0,12,ARTIST
56,11,a4dd26b1c4d6614da2c8a2f3e93f9494,85f8cac8bd44a20024594020e0b399be,"Michelangelo, 'David'; marble - 1504, 17ft tall",15,22,ART_TITLE
